Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
Miami Dolphins,American Football Conference - 2011 Preseason,AFC East Team,3,1,0,.750,78,53,25,9,2-0,1-1,0-0,.000,0-0,.000,3-1,1W,3-1
New York Jets,American Football Conference - 2011 Preseason,AFC East Team,2,2,0,.500,74,54,20,8,1-1,1-1,0-0,.000,1-1,.500,1-1,1L,2-2
New England Patriots,American Football Conference - 2011 Preseason,AFC East Team,2,2,0,.500,105,78,27,13,1-1,1-1,0-0,.000,1-0,1.000,1-2,2L,2-2
Buffalo Bills,American Football Conference - 2011 Preseason,AFC East Team,1,3,0,.250,54,82,-28,6,1-1,0-2,0-0,.000,1-1,.500,0-2,1L,1-3
Baltimore Ravens,American Football Conference - 2011 Preseason,AFC North Team,3,1,0,.750,92,64,28,10,2-0,1-1,0-0,.000,1-0,1.000,2-1,3W,3-1
Pittsburgh Steelers,American Football Conference - 2011 Preseason,AFC North Team,3,1,0,.750,98,63,35,11,2-0,1-1,0-0,.000,0-0,.000,3-1,3W,3-1
Cleveland Browns,American Football Conference - 2011 Preseason,AFC North Team,1,3,0,.250,83,95,-12,11,1-1,0-2,0-0,.000,0-0,.000,1-3,3L,1-3
Cincinnati Bengals,American Football Conference - 2011 Preseason,AFC North Team,1,3,0,.250,47,91,-44,5,1-1,0-2,0-0,.000,0-2,.000,1-1,1L,1-3
Tennessee Titans,American Football Conference - 2011 Preseason,AFC South Team,3,1,0,.750,76,42,34,8,2-0,1-1,0-0,.000,0-0,.000,3-1,2W,3-1
Houston Texans,American Football Conference - 2011 Preseason,AFC South Team,3,1,0,.750,77,65,12,8,2-0,1-1,0-0,.000,1-0,1.000,2-1,1L,3-1
Indianapolis Colts,American Football Conference - 2011 Preseason,AFC South Team,1,3,0,.250,51,86,-35,6,0-2,1-1,0-0,.000,1-0,1.000,0-3,1W,1-3
Jacksonville Jaguars,American Football Conference - 2011 Preseason,AFC South Team,1,3,0,.250,76,119,-43,7,1-1,0-2,0-0,.000,0-2,.000,1-1,2L,1-3
Denver Broncos,American Football Conference - 2011 Preseason,AFC West Team,2,2,0,.500,77,80,-3,8,2-0,0-2,0-0,.000,1-0,1.000,1-2,1L,2-2
San Diego Chargers,American Football Conference - 2011 Preseason,AFC West Team,2,2,0,.500,88,82,6,10,0-2,2-0,0-0,.000,0-0,.000,2-2,1L,2-2
Oakland Raiders,American Football Conference - 2011 Preseason,AFC West Team,0,4,0,.000,44,101,-57,3,0-2,0-2,0-0,.000,0-0,.000,0-4,4L,0-4
Kansas City Chiefs,American Football Conference - 2011 Preseason,AFC West Team,0,4,0,.000,42,90,-48,4,0-2,0-2,0-0,.000,0-1,.000,0-3,4L,0-4
Philadelphia Eagles,National Football Conference - 2011 Preseason,NFC East Team,3,1,0,.750,75,58,17,9,2-0,1-1,0-0,.000,0-0,.000,3-1,2W,3-1
Washington Redskins,National Football Conference - 2011 Preseason,NFC East Team,3,1,0,.750,92,68,24,9,2-0,1-1,0-0,.000,1-0,1.000,2-1,1W,3-1
Dallas Cowboys,National Football Conference - 2011 Preseason,NFC East Team,2,2,0,.500,57,77,-20,6,1-1,1-1,0-0,.000,1-0,1.000,1-2,1L,2-2
New York Giants,National Football Conference - 2011 Preseason,NFC East Team,2,2,0,.500,72,67,5,8,1-1,1-1,0-0,.000,1-1,.500,1-1,1W,2-2
Detroit Lions,National Football Conference - 2011 Preseason,NFC North Team,4,0,0,1.000,114,47,67,12,2-0,2-0,0-0,.000,0-0,.000,4-0,4W,4-0
Green Bay Packers,National Football Conference - 2011 Preseason,NFC North Team,3,1,0,.750,89,87,2,10,2-0,1-1,0-0,.000,1-0,1.000,2-1,3W,3-1
Minnesota Vikings,National Football Conference - 2011 Preseason,NFC North Team,2,2,0,.500,68,44,24,8,1-1,1-1,0-0,.000,1-1,.500,1-1,1W,2-2
Chicago Bears,National Football Conference - 2011 Preseason,NFC North Team,2,2,0,.500,60,72,-12,6,2-0,0-2,0-0,.000,0-1,.000,2-1,1W,2-2
New Orleans Saints,National Football Conference - 2011 Preseason,NFC South Team,2,2,0,.500,87,82,5,11,1-1,1-1,0-0,.000,1-0,1.000,1-2,1L,2-2
Tampa Bay Buccaneers,National Football Conference - 2011 Preseason,NFC South Team,2,2,0,.500,80,73,7,8,1-1,1-1,0-0,.000,0-1,.000,2-1,1L,2-2
Carolina Panthers,National Football Conference - 2011 Preseason,NFC South Team,1,3,0,.250,60,87,-27,6,1-1,0-2,0-0,.000,1-0,1.000,0-3,3L,1-3
Atlanta Falcons,National Football Conference - 2011 Preseason,NFC South Team,0,4,0,.000,59,98,-39,5,0-2,0-2,0-0,.000,0-0,.000,0-4,4L,0-4
St. Louis Rams,National Football Conference - 2011 Preseason,NFC West Team,4,0,0,1.000,88,53,35,10,2-0,2-0,0-0,.000,0-0,.000,4-0,4W,4-0
San Francisco 49ers,National Football Conference - 2011 Preseason,NFC West Team,2,2,0,.500,47,74,-27,5,1-1,1-1,0-0,.000,0-1,.000,2-1,1W,2-2
Seattle Seahawks,National Football Conference - 2011 Preseason,NFC West Team,2,2,0,.500,71,63,8,8,1-1,1-1,0-0,.000,0-1,.000,2-1,1W,2-2
Arizona Cardinals,National Football Conference - 2011 Preseason,NFC West Team,2,2,0,.500,101,87,14,11,1-1,1-1,0-0,.000,0-1,.000,2-1,1W,2-2
